,Path_1,Path_2,Path_3,Path_4,Path_5,Path_6,Path_7,Path_8,Path_9,Path_10,Path_11,Path_12,Path_13,Path_14,Path_15,Path_16,Path_17,Path_18,Path_19,Path_20
0.61,4.837706235294821,5.5484355377117245,4.782460176588957,4.576830379984521,5.2691142722474735,4.751292399924022,4.254292166015028,5.065144564884857,4.639126493947104,5.248706301235049,5.033134940233817,5.373619499997779,4.8438944967760555,4.86775071844952,4.965214958229218,5.038508972523433,4.6644937791440135,5.091154669770797,5.444081137840219,5.541530326175838
0.62,4.851693629476705,5.504562775395395,4.793381980844917,4.529112144324904,5.199216753773554,4.770334478545793,4.212066245996252,5.190992289464332,4.641712803008216,5.200687435240127,5.05355530204874,5.360106555880483,4.843377535467548,4.751930890613418,5.034325884340548,5.04117486009467,4.7220729437677935,5.111949948700202,5.496277269511289,5.550406271504913
0.63,4.800552207173955,5.438820325734429,4.760952533608429,4.503556217770412,5.242145476507878,4.753063483624249,4.286519654820889,5.199183794392177,4.5944289622090695,5.150408086759223,5.006352700029575,5.300462412696879,4.8496250785968265,4.761784579504215,4.988547818412891,5.070074813761517,4.649292745880067,5.088579955111295,5.399126385752678,5.523692945288616
0.64,4.734061971374583,5.4591360111942,4.678433822240061,4.4601764853967785,5.190978220805701,4.750165687486533,4.332997778503282,5.222762342121809,4.590427213282066,5.199505134196718,4.973233647440411,5.25835819526043,4.945445698795237,4.71851315980006,4.956146633287817,5.062598415127643,4.6590557126990095,5.106211565393191,5.446662332097712,5.4427690668341375
0.65,4.7385253186535685,5.4213611811982005,4.677593249378767,4.474092306991044,5.190886448697949,4.671503109483041,4.316574237080069,5.251184599856953,4.57524053727144,5.175111130495108,5.009563083648998,5.341459747016779,4.956296629751642,4.659887405494636,4.975739676201701,5.143572722984788,4.641368941275145,5.146574806448503,5.440654592567113,5.391501065671511
0.66,4.748836492187805,5.37217064329943,4.662174831553543,4.422824637451381,5.186766193423827,4.730386782501688,4.286575485857386,5.275081246310643,4.623254817287366,5.249024377997177,5.018303430594061,5.381486798637842,4.91164623819509,4.606623114111121,4.965878387373889,5.162666347027238,4.591233552569997,5.175571341735312,5.473599868825369,5.4192582146011254
0.67,4.7366958786405595,5.421758475012521,4.647615049367315,4.435271344286088,5.146745643604271,4.699249315935151,4.372065624524901,5.2457575055722945,4.602423921712521,5.236456130666944,5.0215638515892564,5.35094971171079,4.938484312490051,4.649983815074776,5.001492366791985,5.137851140953046,4.592233155540715,5.105303392411577,5.515961995452817,5.453349139435639
0.68,4.710534754596247,5.338223912783339,4.691008504193743,4.430577603331909,5.228661627684579,4.697620924884406,4.415042979792171,5.29076143587817,4.627529172631105,5.21611289255802,4.9377054608588935,5.273846718881782,4.970896258381133,4.694705040237554,5.0306340560361615,5.161075368876717,4.572929159561174,5.163249750928478,5.595640401285873,5.461433798510094
0.6900000000000001,4.711046797455094,5.2690067613458655,4.684307455487885,4.461529621231439,5.18202151276257,4.68387570128779,4.363062033254164,5.308924177768882,4.59583921810242,5.162803209827483,4.910416357668512,5.250590152043595,5.011764335843753,4.724835154304505,5.132548185474959,5.151156848495705,4.671209237899302,5.16733066780863,5.513294205766614,5.424769648982701
0.7000000000000001,4.746226609040082,5.3406753682517145,4.661243592787882,4.453125246008078,5.141652898614313,4.685636278832628,4.424265160095536,5.38193182062414,4.531628582853251,5.208298294897914,4.9488377113245985,5.215734447378697,5.017429132591959,4.671101844369256,5.1739765073216875,5.101111820198865,4.673526668123679,5.175896749117213,5.511163912652463,5.356834052685278
